graph;kmm;backtracks;ac3_time;mac3_time;total_time
[(1,0),(1,2),(2,3),(4,3),(5,4),(6,5),(7,0),(8,7),(8,9),(9,10),(10,11),(11,12),(13,0),(13,14),(15,14),(15,18),(18,19),(16,15),(17,16)];false;20;4.1ms;425.0µs;4.6ms
[(0,1),(0,7),(0,13),(1,2),(3,2),(4,3),(5,4),(6,5),(8,7),(9,8),(9,10),(10,11),(11,12),(14,13),(14,15),(15,18),(18,19),(16,15),(17,16)];false;27;5.8ms;527.0µs;6.3ms
[(1,0),(1,2),(0,13),(13,14),(3,2),(3,5),(5,6),(4,3),(7,0),(7,8),(8,9),(10,9),(11,10),(12,11),(15,13),(15,16),(17,16),(18,17),(19,18)];false;20;2.2ms;406.5µs;2.6ms
[(0,1),(0,7),(2,1),(2,3),(3,4),(5,3),(6,5),(8,7),(9,8),(9,10),(10,11),(11,12),(13,0),(13,15),(14,13),(16,15),(16,17),(17,18),(18,19)];false;29;2.1ms;523.1µs;2.6ms
[(1,0),(1,2),(2,5),(5,6),(3,2),(4,3),(7,0),(8,7),(8,10),(10,11),(9,8),(11,12),(13,0),(13,15),(14,13),(16,15),(16,18),(18,19),(17,16)];false;27;7.0ms;497.1µs;7.5ms
[(0,1),(0,7),(0,13),(7,8),(13,14),(2,1),(2,5),(5,6),(3,2),(4,3),(8,9),(10,8),(11,10),(12,11),(15,13),(15,16),(16,17),(18,16),(19,18)];false;20;7.3ms;437.2µs;7.8ms
[(1,0),(2,1),(2,4),(4,5),(3,2),(5,6),(7,0),(7,8),(8,9),(10,9),(11,10),(12,11),(13,0),(13,14),(15,14),(15,17),(17,18),(16,15),(18,19)];false;21;2.9ms;389.1µs;3.3ms
[(0,1),(0,7),(0,13),(1,2),(2,3),(4,2),(5,4),(6,5),(8,7),(9,8),(9,10),(10,11),(11,12),(14,13),(14,15),(15,16),(17,15),(18,17),(19,18)];false;20;5.3ms;344.5µs;5.6ms
[(0,1),(0,6),(0,13),(6,7),(13,14),(13,16),(2,1),(2,4),(4,5),(3,2),(8,6),(8,9),(9,10),(11,9),(12,11),(14,15),(17,16),(18,17),(19,18)];false;27;3.6ms;499.1µs;4.1ms
[(1,0),(1,2),(2,3),(4,2),(5,4),(6,0),(6,8),(7,6),(9,8),(9,11),(11,12),(10,9),(13,0),(14,13),(15,14),(16,13),(16,17),(17,18),(18,19)];false;20;3.7ms;400.6µs;4.1ms
[(1,0),(2,1),(2,3),(3,4),(4,5),(6,0),(6,7),(7,10),(10,11),(8,7),(9,8),(12,0),(12,15),(13,12),(14,13),(16,15),(16,18),(18,19),(17,16)];false;21;3.0ms;407.3µs;3.4ms
[(1,0),(2,1),(2,3),(3,4),(4,5),(6,0),(6,7),(7,10),(10,11),(8,7),(9,8),(12,0),(12,14),(13,12),(15,14),(15,18),(18,19),(16,15),(17,16)];false;21;2.6ms;524.6µs;3.1ms
